<<<<<<< HEAD
date,eventName,eventTitle,location
02/14/2021,OFC 4,Original Fighting Championship 4,"3 Sport Studio, Karti-4, Kabul, Afghanistan"
02/14/2021,ALMMA 190,Bull Terror Challenge,"Hala Sportowa Zespołu Szkół Ogólnokształcących nr 2, Puławy, Poland"
02/14/2021,UMMA,Cup Of Smolensk 2021,"Smolensk, Russia"
02/14/2021,UMMA,Cup Of Dagestan 2021,"Dagestan, Russia"
02/13/2021,X1 Kombat ,X1 Kombat 3,"CT Maori Team, Contagem, Minas Gerais, Brazil"
02/13/2021,Fight Quest 1,The Beginning,"Revolution Martial Arts & Performance Fitness, Inman, South Carolina, United States"
02/13/2021,RCF 14,Red City Fights 14,"Yoshkar-Ola, Russia"
02/13/2021,Square Ring Promotions,Island Fights 66,"Pensacola Hadji Shrine, Pensacola, Florida, United States"
02/13/2021,UMMA,Cup Of Udmurtia 2021,"Dynamo Sports Complex, Udmurtia, Russia"
02/13/2021,MTF 22,St. George,"Legacy Park, Hurricane, Utah, United States"
02/13/2021,NG Promotions,MMA VIP,Poland
02/13/2021,DFC,Dominium Fighter Championship 4,"Campinas, Sao Paulo, Brazil"
02/13/2021,Sul Fluminense Fight Night,SFFN 1,"Tres Rios, Rio de Janeiro, Brazil"
02/13/2021,EMMA,Eternal MMA 56: Perth,"HBF Stadium, Perth, Western Australia, Australia"
02/13/2021,JFC 3,Jacara Fight Combat 3,"CT LC Team, Jacaraípe, Espirito Santo, Brazil"
02/13/2021,NFT Gym,National Fighting Championship 3,"Krefeld, North Rhine-Westphalia, Germany"
02/13/2021,UFC 258,Usman vs. Burns,"UFC Apex, Las Vegas, Nevada, United States"
02/13/2021,XFC,Demolition Fight Series 2,"Club Italia Sporting Club, St Albans, Victoria, Australia"
02/12/2021,PCFL 8,Pro Combat Fight League Fight Night 8,"Arya City, Kabul, Afghanistan"
02/12/2021,AFL 4,Azteca Fight League 4,"Monterrey, Mexico"
02/12/2021,PFL KG and Jolbors Team,PFL Selection,"Hollywood Disco Club, Karakol, Kyrgyzstan"
02/12/2021,Babilon MMA 19,Stawowy vs. Szaflarski,Poland
02/12/2021,Titan FC 67,Sabatello vs. Blackshear,"InterContinental Hotel Miami, Miami, Florida, United States"
02/12/2021,LFA 99,Dennis vs. Cherant,"Hartman Arena, Park City, Kansas, United States"
02/12/2021,ACA 117,Bagov vs. Silverio,Russia
02/12/2021,Arena Global,Arena Global 10,"Rio de Janeiro, Rio de Janeiro, Brazil"
02/12/2021,TMMA 1,Triumph MMA 1,"Fusion Liverpool, Liverpool, England"
02/12/2021,BFL 66,Battlefield Fight League,"Vancouver, British Columbia, Canada"
02/11/2021,TGFC 11,Champions Fight Night Season 3,"Ghazi Stadium, Kabul, Afghanistan"
02/10/2021,KFC,King Fighting Championship Fight Night ,"3sport Studio, Karti-4, Kabul, Afghanistan"
02/10/2021,OFC,Original Fighting Championship Fight Night: Shamshad vs. Nesar,"3 Sport Studio Karti-4, Kabul, Afghanistan"
02/09/2021,EFC 33,Eagle Fighting Championship 33,"Moscow, Russia"
02/07/2021,Tatfight,Martial Arts Festival,"SOK Druzhba, Nizhnekamsk, Tatarstan, Russia"
02/07/2021,UMMA,Cup Of Crimea 2021,"Simferopol, Ukraine"
02/07/2021,UMMA,Cup Of Penza 2021,"Penza, Russia"
02/07/2021,UMMA,Cup Of Ryazan 2021,"Ryazan, Russia"
02/07/2021,The Hero,Pro Fight Night 4: Fighter's Breed,"The Hero MMA Academy, Nashik, India"
02/07/2021,Gladiator,Gladiator 013 in Osaka,"176Box, Toyonaka, Osaka, Japan"
02/06/2021,PFL,Premier Fight League 27,"Champions Florida Sport Bar & Complex, Doral, Florida, United States"
02/06/2021,GCF 54,Gladiator Combat Fight 54,"Curitiba, Parana, Brazil"
