date,eventName,eventTitle,eventUrl,location
12/31/2021,Rizin FF,Rizin 33,https://www.sherdog.com/events/Rizin-FF-Rizin-33-91339,-Saitama Super Arena; Saitama; Japan-
12/30/2021,Hardcore FC,Hardcore MMA 18,https://www.sherdog.com/events/Hardcore-FC-Hardcore-MMA-18-91698,-Hardcore Platform; Moscow; Russia-
12/30/2021,OTF,Orereta Top Fighters: Grand Prix,https://www.sherdog.com/events/OTF-Orereta-Top-Fighters-Grand-Prix-91536,-Basque Country; Spain-
12/30/2021,Double G FC 11,Double G Fighting Championship,https://www.sherdog.com/events/Double-G-FC-11-Double-G-Fighting-Championship-91240,-KBS Area; Seoul; South Korea-
12/30/2021,Oktagon MMA,Oktagon 30,https://www.sherdog.com/events/Oktagon-MMA-Oktagon-30-90784,-O2 Arena; Praha; Czech Republic-
12/29/2021,NFC 36,Naiza Fighter Championship 36,https://www.sherdog.com/events/NFC-36-Naiza-Fighter-Championship-36-91336,-Almaty Arena; Almaty; Kazakhstan-
12/28/2021,JF,Jungle Fight 104,https://www.sherdog.com/events/JF-Jungle-Fight-104-91666,-Sao Paulo; Sao Paulo; Brazil-
12/25/2021,Iron Road Promotions,Fight Road 10,https://www.sherdog.com/events/Iron-Road-Promotions-Fight-Road-10-91695,-Udarnik Arena; Moscow; Russia-
12/25/2021,Colosseum MMA,Battle of the Champions 24,https://www.sherdog.com/events/Colosseum-MMA-Battle-of-the-Champions-24-91523,-Moscow; Russia-
12/25/2021,ACA YE 23,ACA Young Eagles 23: Grand Prix Finals,https://www.sherdog.com/events/ACA-YE-23-ACA-Young-Eagles-23-Grand-Prix-Finals-91472,-Grozny Sport Hall Colesseum; Grozny; Chechnya; Russia-
12/25/2021,ATFC 6,Amir Temur Fighting Championship 6,https://www.sherdog.com/events/ATFC-6-Amir-Temur-Fighting-Championship-6-91471,-Javokhir Banquet Hall; Samarkand; Uzbekistan-
12/25/2021,JCK Night Cage Series,2021 Division Finals Part 2,https://www.sherdog.com/events/JCK-Night-Cage-Series-2021-Division-Finals-Part-2-91444,-Haikou; Hainan; China-
12/24/2021,SBC 37,Serbian Battle Championship 37: Revenge!,https://www.sherdog.com/events/SBC-37-Serbian-Battle-Championship-37-Revenge-91755,-Spens Small Hall; Novi Sad; Serbia-
12/23/2021,EWFC 1,Eagle Warriors Fighting Championship,https://www.sherdog.com/events/EWFC-1-Eagle-Warriors-Fighting-Championship-91756,-University Gymnasium; Farah; Afghanistan-
12/23/2021,SFC 2,Sparta Fight Championship,https://www.sherdog.com/events/SFC-2-Sparta-Fight-Championship-91637,-I.E.P. Alfonso Ugarte; Santa Anita; Lima; Peru-
12/23/2021,Hardcore FC,Hardcore MMA 17,https://www.sherdog.com/events/Hardcore-FC-Hardcore-MMA-17-91635,-Hardcore Platform; Moscow; Russia-
12/23/2021,AFC 18,Angel's Fighting Championship 18,https://www.sherdog.com/events/AFC-18-Angels-Fighting-Championship-18-91521,-Shindorim Techno Mart; Seoul; South Korea-
