name,birthDate,age,height,weight,association,fighterClass,win,loss,nationality,locality,url
None,06/10/1988,33,73,185,frontline academy,middleweight,22,6,Sweden,-Uddevalla-,https://www.sherdog.com/fighter/Jack-Hermansson-61146
martin johansson,None,None,None,180,vaxjo titans,middleweight,0,0,Denmark,None,https://www.sherdog.com/fighter/Martin-Johansson-61147
ian farquharson,None,None,None,None,team mad dog,None,1,1,England,None,https://www.sherdog.com/fighter/Ian-Farquharson-94281
andor filo,07/9/1972,49,None,185,pitbull team szeged,middleweight,3,5,Hungary,-Szeged-,https://www.sherdog.com/fighter/Andor-Filo-71553
mike ling,07/29/1987,34,78,186,gym01,middleweight,11,6,England,-Portsmouth-,https://www.sherdog.com/fighter/Mike-Ling-56352
daniel vizcaya,07/1/1985,36,72,185,prime muay thai,middleweight,10,4,United States,-Lisle Illinois-,https://www.sherdog.com/fighter/Daniel-Vizcaya-67208
matt van buren,06/12/1986,35,77,205,team gutter,light heavyweight,7,6,United States,-Norfolk Virginia-,https://www.sherdog.com/fighter/Matt-Van-Buren-64754
byron byrd,04/24/1982,39,75,185,american top team orlando,middleweight,5,3,United States,-Orlando Florida-,https://www.sherdog.com/fighter/Byron-Byrd-66556
chris fields,06/21/1983,38,75,185,team kf martial arts,middleweight,12,8,Ireland,-Dublin-,https://www.sherdog.com/fighter/Chris-Fields-46747
dan spohn,10/12/1984,37,76,206,cambridge martial arts,light heavyweight,18,8,United States,-Zanesville Ohio-,https://www.sherdog.com/fighter/Dan-Spohn-39485
manny okorie,05/12/1979,42,73,205,frederick fight club,light heavyweight,1,3,United States,-Frederick Maryland-,https://www.sherdog.com/fighter/Manny-Okorie-42431
josh stansbury,11/19/1984,37,74,205,team impact,light heavyweight,8,5,United States,-East Liverpool Ohio-,https://www.sherdog.com/fighter/Josh-Stansbury-18495
kris mccray,09/24/1981,40,72,170,iron army,welterweight,9,5,United States,-Toms River New Jersey-,https://www.sherdog.com/fighter/Kris-McCray-39432
james kearns,None,None,73,205,tactical combat academy,light heavyweight,0,2,United States,-Marion Pennsylvania-,https://www.sherdog.com/fighter/James-Kearns-80277
dave  osborne,None,None,71,170,None,welterweight,0,0,United States,-Madison Ohio-,https://www.sherdog.com/fighter/Dave-Osborne-43924
aaron caw,None,None,73,225,None,heavyweight,0,0,United States,-Zanesville Ohio-,https://www.sherdog.com/fighter/Aaron-Caw-38329
shad  conley,None,None,None,None,None,None,0,0,None,None,https://www.sherdog.com/fighter/Shad-Conley-39436
nick duell,07/9/1982,39,69,179,strong style fight team,middleweight,11,5,United States,-Independence Ohio-,https://www.sherdog.com/fighter/Nick-Duell-24164
jesse maloy,09/17/1990,31,70,250,None,heavyweight,0,0,United States,-Coshocton Ohio-,https://www.sherdog.com/fighter/Jesse-Maloy-69781
adam farrell,None,None,72,205,nonstop fitness & mixed martial arts,light heavyweight,0,0,United States,-Erie Pennsylvania-,https://www.sherdog.com/fighter/Adam-Farrell-39472
jason  scherer,None,None,None,None,None,None,0,0,None,None,https://www.sherdog.com/fighter/Jason-Scherer-43935
jason olson,01/29/1980,42,77,257,evolve mma,heavyweight,0,0,United States,-Streetsboro Ohio-,https://www.sherdog.com/fighter/Jason-Olson-62495
mike kelly,None,None,None,None,None,None,0,3,None,None,https://www.sherdog.com/fighter/Mike-Kelly-10975
pete hunter,None,None,73,225,team beatdown,heavyweight,0,0,United States,-Sandusky Ohio-,https://www.sherdog.com/fighter/Pete-Hunter-23798
angelo carpenter,11/2/1987,34,71,285,nutter mma,super heavyweight,0,0,United States,-Lodi Ohio-,https://www.sherdog.com/fighter/Angelo-Carpenter-62496
jeff mueller,None,None,None,None,None,None,2,0,None,None,https://www.sherdog.com/fighter/Jeff-Mueller-10972
lorenzo clark,None,None,None,None,None,None,1,0,None,None,https://www.sherdog.com/fighter/Lorenzo-Clark-11468
kris fleurstil,None,None,None,None,None,None,1,13,None,None,https://www.sherdog.com/fighter/Kris-Fleurstil-20519
seth cole,None,None,73,263,wreckroom athletics,heavyweight,0,1,United States,-Bellevue Ohio-,https://www.sherdog.com/fighter/Seth-Cole-25935
andy boehlke,03/28/1979,42,69,241,campbell martial arts,heavyweight,0,0,United States,-Campbell Ohio-,https://www.sherdog.com/fighter/Andy-Boehlke-80797
rob marcks,None,None,None,155,None,lightweight,6,23,United States,None,https://www.sherdog.com/fighter/Rob-Marcks-11306
brian kalso,None,None,None,None,None,None,0,0,None,None,https://www.sherdog.com/fighter/Brian-Kalso-47719
david kleczkowski,None,None,None,185,None,middleweight,10,7,USA,-Milwaukee Wisconsin-,https://www.sherdog.com/fighter/David-Kleczkowski-16149
josh hansen,None,None,None,None,None,None,0,0,None,None,https://www.sherdog.com/fighter/Josh-Hansen-38260
shane dezee,05/15/1977,44,73,219,gorilla combat,heavyweight,15,21,United States,-Burnsville Minnesota-,https://www.sherdog.com/fighter/Shane-DeZee-15822
indalecio tat romero,03/27/1980,41,66,170,the iron range wolfpac,welterweight,29,6,United States,-Hibbing Minnesota-,https://www.sherdog.com/fighter/Indalecio-Tat-Romero-11303
eric steel,None,None,None,None,None,None,0,0,None,None,https://www.sherdog.com/fighter/Eric-Steel-47720
waylon wolf,None,None,None,None,None,None,7,4,None,None,https://www.sherdog.com/fighter/Waylon-Wolf-13217
reed wismer,None,None,None,None,None,None,1,0,None,None,https://www.sherdog.com/fighter/Reed-Wismer-11656
kelly jurca,None,None,None,None,None,None,0,1,None,None,https://www.sherdog.com/fighter/Kelly-Jurca-39700
logan deisler,None,None,None,None,None,None,2,9,None,None,https://www.sherdog.com/fighter/Logan-Deisler-11309
david wright,08/25/1983,38,None,220,None,heavyweight,0,0,None,None,https://www.sherdog.com/fighter/David-Wright-73712
michael gourneau,None,None,None,None,academy of combat arts,None,3,0,None,None,https://www.sherdog.com/fighter/Michael-Gourneau-12710
eric hagman,None,None,None,170,None,welterweight,4,2,United States,None,https://www.sherdog.com/fighter/Eric-Hagman-13156
wayne wood,None,None,None,None,None,None,3,8,None,None,https://www.sherdog.com/fighter/Wayne-Wood-11305
burton robertson,None,None,None,None,None,None,0,1,None,None,https://www.sherdog.com/fighter/Burton-Robertson-15366
jason connor,None,None,None,None,None,None,2,0,None,None,https://www.sherdog.com/fighter/Jason-Connor-40917
serge rochon,01/15/1979,43,69,153,team canada,lightweight,3,6,Canada,-Winnipeg Manitoba-,https://www.sherdog.com/fighter/Serge-Rochon-16665
alex sung,None,None,71,165,indie bjj,welterweight,6,3,Canada,-Oromocto New Brunswick-,https://www.sherdog.com/fighter/Alex-Sung-12330
saul mitchell,None,None,None,145,minnesota martial arts academy,featherweight,7,3,USA,-Shakopee Minnesota-,https://www.sherdog.com/fighter/Saul-Mitchell-11626
les lauer,None,None,None,205,None,light heavyweight,2,2,United States,None,https://www.sherdog.com/fighter/Les-Lauer-15670
cody dillman,None,None,None,None,None,None,2,0,None,None,https://www.sherdog.com/fighter/Cody-Dillman-32630
trevor julin,None,None,None,None,None,None,5,3,None,None,https://www.sherdog.com/fighter/Trevor-Julin-13152
nelson akawui riquelme,None,None,70,170,btt canada,welterweight,4,1,Canada,-Montreal Quebec-,https://www.sherdog.com/fighter/Nelson-Akawui-Riquelme-13795
jason cihak,None,None,None,205,None,light heavyweight,0,2,United States,-Breckenridge Minnesota-,https://www.sherdog.com/fighter/Jason-Cihak-80047
wendell phillips,None,None,None,205,None,light heavyweight,1,0,United States,-Breckenridge Minnesota-,https://www.sherdog.com/fighter/Wendell-Phillips-80046
frederic poirier,None,None,None,None,None,None,3,3,None,None,https://www.sherdog.com/fighter/Frederic-Poirier-4726
miguel gonzalez,None,None,None,None,None,None,1,1,None,None,https://www.sherdog.com/fighter/Miguel-Gonzalez-13158
mike coon,None,None,None,None,None,None,0,1,None,None,https://www.sherdog.com/fighter/Mike-Coon-15672
chuck parmelee,10/2/1978,43,72,174,ko dynasty,middleweight,34,13,United States,-Sioux City Iowa-,https://www.sherdog.com/fighter/Chuck-Parmelee-5212
brett maston,None,None,None,None,None,None,0,1,None,None,https://www.sherdog.com/fighter/Brett-Maston-18831
jamel boereau,None,None,None,None,None,None,0,1,None,None,https://www.sherdog.com/fighter/Jamel-Boereau-6550
andy social,None,None,None,None,None,None,0,4,None,None,https://www.sherdog.com/fighter/Andy-Social-4395
justin bruckmann,None,None,69,155,bruckmann martial arts,lightweight,7,3,Canada,-Toronto Ontario-,https://www.sherdog.com/fighter/Justin-Bruckmann-902
jesse jones,None,None,71,184,team extreme,middleweight,15,5,USA,None,https://www.sherdog.com/fighter/Jesse-Jones-613
don hamilton,08/19/1976,45,73,182,None,middleweight,11,6,United States,-Omaha Nebraska-,https://www.sherdog.com/fighter/Don-Hamilton-691
ladorian emmanuel,None,None,None,None,None,None,2,7,None,None,https://www.sherdog.com/fighter/LaDorian-Emmanuel-692
chad sullivan,None,None,None,None,None,None,8,4,None,None,https://www.sherdog.com/fighter/Chad-Sullivan-945
troy pacenka,None,None,None,None,None,None,4,2,None,None,https://www.sherdog.com/fighter/Troy-Pacenka-1038
matt see,None,None,None,None,None,None,0,1,None,None,https://www.sherdog.com/fighter/Matt-See-5905
mark woodruff,None,None,None,None,None,None,0,1,None,None,https://www.sherdog.com/fighter/Mark-Woodruff-18770
nathan smith,None,None,None,None,None,None,1,2,None,None,https://www.sherdog.com/fighter/Nathan-Smith-18767
bobby martinez,None,None,None,204,team truth,light heavyweight,9,13,United States,None,https://www.sherdog.com/fighter/Bobby-Martinez-19138
ben pearce,None,None,None,None,None,None,1,6,None,None,https://www.sherdog.com/fighter/Ben-Pearce-5903
john bauer,None,None,None,None,None,None,1,2,None,None,https://www.sherdog.com/fighter/John-Bauer-18765
tomas gonzalez,None,None,None,None,None,None,0,1,United States,None,https://www.sherdog.com/fighter/Tomas-Gonzalez-51868
john jones,None,None,None,None,None,None,1,3,None,None,https://www.sherdog.com/fighter/John-Jones-3942
tiser demurs,None,None,None,None,helltown hybrid,None,0,0,None,None,https://www.sherdog.com/fighter/Tiser-Demurs-18794
dave hernandez,None,None,None,None,None,None,0,1,None,None,https://www.sherdog.com/fighter/Dave-Hernandez-18766
phil heim,None,None,None,None,None,None,1,0,None,None,https://www.sherdog.com/fighter/Phil-Heim-6463
clayton miller,04/7/1975,46,71,198,None,light heavyweight,39,27,United States,-Centerville Iowa-,https://www.sherdog.com/fighter/Clayton-Miller-586
seth horn,None,None,None,None,None,None,2,1,None,-Eden North Carolina-,https://www.sherdog.com/fighter/Seth-Horn-25646
shawn burton,None,None,None,None,None,None,0,0,None,None,https://www.sherdog.com/fighter/Shawn-Burton-25647
chris melvin,None,None,None,None,None,None,0,0,None,None,https://www.sherdog.com/fighter/Chris-Melvin-4403
sandy geddes,None,None,None,183,None,middleweight,7,13,Scotland,None,https://www.sherdog.com/fighter/Sandy-Geddes-3941
todd frederickson,None,None,None,None,None,None,5,4,None,None,https://www.sherdog.com/fighter/Todd-Frederickson-626
brad pearce,None,None,None,None,None,None,0,0,None,None,https://www.sherdog.com/fighter/Brad-Pearce-27945
guy pendergrass,None,None,None,None,None,None,0,0,USA,-Raleigh North Carolina-,https://www.sherdog.com/fighter/Guy-Pendergrass-25652
leif stenberg,None,None,None,None,None,None,0,0,None,None,https://www.sherdog.com/fighter/Leif-Stenberg-4404
