fighterName,birthDate,age,height,weight,fighterClass,win,loss,locality,country
diogo silva,12/21/1993, 27,None,125,Flyweight,3,2,"Maceio, Alagoas",Brazil
jeferson lourenco silverio,None,None,[67],155,Lightweight,0,2,"Rio de Janeiro, Rio de Janeiro",Brazil
maicon patricio de jesus,None,None,None,185,Middleweight,1,1,"Belo Horizonte, Minas Gerais",Brazil
pim kusters,None,None,None,183,Middleweight,2,2,None,Netherlands
reydemtor nacionales,None,None,None,125,Flyweight,2,3,None,Philippines
ramzan yakaev,None,None,None,145,Featherweight,1,0,Voronezh,Russia
mohamed karim,None,None,None,141,Featherweight,0,1,None,Morocco
vasile suprovici,08/16/1996, 24,None,170,Welterweight,3,4,None,"Moldova, Republic of"
shakhban alkhasov,12/24/1996, 24,None,170,Welterweight,4,0,Stavropol,Russia
mohamad osseili,None,None,None,185,Middleweight,3,0,None,Lebanon
elijas paknys,None,None,None,185,Middleweight,0,2,None,England
jayson margallo,None,None,None,125,Flyweight,5,5,None,Philippines
shamil magomedov,02/04/1993, 28,[65],135,Bantamweight,12,2,"Makhachkala, Dagestan",Russia
louis jourdain,None,None,[69],135,Bantamweight,5,3,"Beloeil, Quebec",Canada
avliyohon hamidov,04/01/1991, 30,None,135,Bantamweight,10,3,Andijan,Uzbekistan
daniel vega,None,None,None,155,Lightweight,12,5,None,Mexico
martun mezhlumyan,04/20/1993, 28,[71],170,Welterweight,11,2,Moscow,Russia
abdurakhman gitinovasov,None,None,None,145,Featherweight,7,1,Samara,Russia
eric spicely,09/29/1986, 34,[73],185,Middleweight,12,6,"Olneyville, Rhode Island",United States
will starks,07/27/1993, 27,[70],155,Lightweight,4,2,"Columbia, Missouri",United States
rinat fakhretdinov,09/28/1991, 29,[72],185,Middleweight,18,1,Moscow,Russia
sultan zholdoshbek,None,None,None,135,Bantamweight,13,2,None,Kyrgyzstan
vinicius de oliveira prestes de matos,11/30/1995, 25,[69],135,Bantamweight,15,2,"Porto Alegre, Rio Grande do Sul",Brazil
walter zamora,01/15/1990, 31,[68],145,Featherweight,11,4,None,Costa Rica
muin gafurov,05/17/1996, 24,[67],135,Bantamweight,16,3,Dushanbe,Tajikistan
saygid izagakhmaev,09/03/1994, 26,[72],170,Welterweight,17,2,"Makhachkala, Dagestan",Russia
carlston lindsay harris,07/09/1987, 33,[72],170,Welterweight,15,4,Skeldon,Guyana
jesse arnett,07/11/1984, 36,[69],135,Bantamweight,18,6,"Calgary, Alberta",Canada
renato gomes gabriel,04/04/1987, 34,[70],170,Welterweight,None,None,"Cacador, Santa Catarina",Brazil
shamil zavurov,07/04/1984, 36,[68],155,Lightweight,39,6,"Kizilyurt, Dagestan",Russia
islanio silva,08/07/1989, 31,[68],134,Bantamweight,1,1,"Pouso Alegre, Minas Gerais",Brazil
deberson batista,12/03/1990, 30,[69],145,Featherweight,8,3,"Belo Horizonte, Minas Gerais",Brazil
andre gomes pereira,03/04/1985, 36,[63],135,Bantamweight,1,4,"Manhuacu, Minas Gerais",Brazil
carlos soares,None,None,None,135,Bantamweight,11,2,"Belo Horizonte, Minas Gerais",Brazil
jean dos santos alves,04/28/1985, 36,None,135,Bantamweight,0,3,Rio Grande do Norte,Brazil
alisson fernandes silva,02/22/1996, 25,[64],125,Flyweight,3,0,"Grossos, Rio Grande do Norte",Brazil
maria claudia oliveira,05/14/2001, 19,[64],109,Strawweight,1,0,"Assu, Rio Grande do Norte",Brazil
isac silva souza,None,None,[73],170,Welterweight,1,1,"Iranduba, Amazonas",Brazil
rafaela das chagas bernardo,04/15/1999, 22,[62],110,Strawweight,1,1,"Patos, PB",Brazil
anderson barbosa salustino,03/17/1987, 34,[70],152,Lightweight,11,5,"Natal, Rio Grande do Norte",Brazil
charlucio da silva brasil,09/19/1985, 35,[70],145,Featherweight,None,None,"Porto Velho, Rondonia",Brazil
francisco ferreira das chagas campos,05/30/1990, 30,[66],145,Featherweight,9,3,"Umarizal, Rio Grande do Norte",Brazil
joao felipe santos silva,None,None,None,115,Strawweight,1,1,"Porto Velho, Rondonia",Brazil
