fighterName,birthDate,age,height,weight,fighterClass,win,loss,locality,country
Niymon Mamytov,None,None,None,135,Bantamweight,0,1,None,Kyrgyzstan
Anton Vakunov,None,None,None,135,Bantamweight,3,1,Bryansk,Russia
Anzor Abzhamov,None,None,None,135,Bantamweight,3,0,None,Russia
Mikhail Turkanov,12/26/1987, 33,[73],170,Welterweight,8,6,St. Petersburg,Russia
Mvougou Mvodo,None,None,None,155,Lightweight,0,0,Doula,Cameroon
Endom Bikim Steve Durant,None,None,None,155,Lightweight,0,0,None,Cameroon
Rodolphe Kamdem,None,None,None,170,Welterweight,0,0,Doula,Cameroon
Manga Felix,None,None,None,170,Welterweight,0,0,None,Cameroon
Alibeg Rasulov,12/01/1992, 28,[72],170,Welterweight,11,0,"Makhachkala, Dagestan",Russia
Sergey Borisov,03/31/1990, 31,None,205,Light Heavyweight,0,1,Novosibirsk,Russia
Achmiz Azamat,None,None,[70],145,Featherweight,3,1,Sochi,Russia
Ruslan Hubolov,None,None,None,155,Lightweight,2,1,None,Russia
Shamil Michilov,None,None,None,155,Lightweight,5,0,None,Russia
Rildeci Lima Dias,11/05/1985, 35,[67],125,Flyweight,24,14,"Almerim, Para",Brazil
Badmatsyren Dorzhiev,03/18/1994, 27,[67],125,Flyweight,4,0,Moscow,Russia
Marcio Santos,02/14/1989, 32,None,170,Welterweight,None,None,"Belford Roxo, Rio de Janeiro",Brazil
David Barkhudaryan,12/16/1996, 24,[71],170,Welterweight,8,3,"Krasnodar, Krasnodar",Russia
Wagner da Conceicao Martins,05/19/1978, 42,[79],390,Super Heavyweight,12,10,Sao Luis,Brazil
Yusup Shuaev,None,None,None,250,Heavyweight,5,0,None,Russia
Gustavo Erak,05/08/1992, 28,[67],135,Bantamweight,23,5,"Indaiatuba, Sao Paulo",Brazil
Vladimir Egoyan,10/07/1991, 29,None,135,Bantamweight,23,7,"Rostov-on-Don, Rostov",Russia
Ivan Bayakin,None,None,None,135,Bantamweight,1,2,None,Russia
Mirzobek Mirzoev,None,None,None,155,Lightweight,1,1,None,Tajikistan
Talantbek Uulu Erbol,None,None,None,155,Lightweight,1,0,None,Kyrgyzstan
Zhanbolot Muraliev,None,None,None,145,Featherweight,None,None,None,Kyrgyzstan
Georgiy Kozaev,None,None,None,145,Featherweight,None,None,None,Russia
Anzor Ayubov,None,None,None,125,Flyweight,0,2,None,Russia
Kurmanbek Absamatov,None,None,None,135,Bantamweight,2,1,None,Kyrgyzstan
Ulanbek Karypov,None,None,None,135,Bantamweight,0,1,None,Kyrgyzstan
Zokirzhon Azimov,None,None,None,135,Bantamweight,1,0,None,Tajikistan
Amriddin Nasriddinov,None,None,None,135,Bantamweight,0,1,None,Tajikistan
Bakdoolot Isakov,None,None,None,135,Bantamweight,2,0,None,Kyrgyzstan
Akmal Sarimsakov,None,None,None,145,Featherweight,0,1,None,Uzbekistan
Nursultan Abdirashitov,None,None,None,145,Featherweight,1,0,None,Kyrgyzstan
